upgrade,state,comstock_building_type,percentage_above_25,percentage_above_50
09,AK,FullServiceRestaurant,0.0,0.0
09,AK,Hospital,0.0,0.0
09,AK,LargeHotel,11.11111111111111,0.0
09,AK,LargeOffice,0.0,0.0
09,AK,MediumOffice,0.0,0.0
09,AK,Outpatient,0.0,0.0
09,AK,PrimarySchool,0.0,0.0
09,AK,QuickServiceRestaurant,0.0,0.0
09,AK,RetailStandalone,37.03703703703704,0.0
09,AK,RetailStripmall,3.571428571428571,0.0
09,AK,SecondarySchool,0.0,0.0
09,AK,SmallHotel,0.0,0.0
09,AK,SmallOffice,0.0,0.0
09,AK,Warehouse,0.0,0.0
09,AL,FullServiceRestaurant,0.0,0.0
09,AL,Hospital,0.0,0.0
09,AL,LargeHotel,0.0,0.0
09,AL,LargeOffice,0.0,0.0
09,AL,MediumOffice,0.0,0.0
09,AL,Outpatient,0.0,0.0
09,AL,PrimarySchool,0.0,0.0
09,AL,QuickServiceRestaurant,0.0,0.0
09,AL,RetailStandalone,0.3972194637537239,0.0
09,AL,RetailStripmall,0.0,0.0
09,AL,SecondarySchool,0.0,0.0
09,AL,SmallHotel,0.0,0.0
09,AL,SmallOffice,0.0,0.0
09,AL,Warehouse,0.0,0.0
09,AR,FullServiceRestaurant,0.0,0.0
09,AR,Hospital,0.0,0.0
09,AR,LargeHotel,0.0,0.0
09,AR,LargeOffice,0.0,0.0
09,AR,MediumOffice,0.0,0.0
09,AR,Outpatient,0.0,0.0
09,AR,PrimarySchool,0.0,0.0
09,AR,QuickServiceRestaurant,0.0,0.0
09,AR,RetailStandalone,0.33112582781456956,0.0
09,AR,RetailStripmall,0.0,0.0
09,AR,SecondarySchool,0.0,0.0
09,AR,SmallHotel,0.0,0.0
09,AR,SmallOffice,0.0,0.0
09,AR,Warehouse,0.0,0.0
09,AZ,FullServiceRestaurant,0.0,0.0
09,AZ,Hospital,0.0,0.0
09,AZ,LargeHotel,0.0,0.0
09,AZ,LargeOffice,0.0,0.0
09,AZ,MediumOffice,0.0,0.0
09,AZ,Outpatient,0.0,0.0
09,AZ,PrimarySchool,0.0,0.0
09,AZ,QuickServiceRestaurant,0.0,0.0
09,AZ,RetailStandalone,0.0,0.0
09,AZ,RetailStripmall,0.0,0.0
09,AZ,SecondarySchool,0.6024096385542169,0.0
09,AZ,SmallHotel,0.0,0.0
09,AZ,SmallOffice,0.0,0.0
09,AZ,Warehouse,0.0,0.0
09,CA,FullServiceRestaurant,0.0,0.0
09,CA,Hospital,0.0,0.0
09,CA,LargeHotel,0.0,0.0
09,CA,LargeOffice,0.0,0.0
09,CA,MediumOffice,0.853658536585366,0.0
09,CA,Outpatient,2.360391479562464,0.0
09,CA,PrimarySchool,1.0101010101010102,0.0
09,CA,QuickServiceRestaurant,0.0,0.0
09,CA,RetailStandalone,12.013436079826121,0.019758940920766646
09,CA,RetailStripmall,5.651864165281406,0.0
09,CA,SecondarySchool,0.47393364928909953,0.0
09,CA,SmallHotel,0.7739938080495357,0.0
09,CA,SmallOffice,4.0175082069720185,0.0
09,CA,Warehouse,5.287318632674809,0.0
09,CO,FullServiceRestaurant,0.0,0.0
09,CO,Hospital,36.36363636363637,0.0
09,CO,LargeHotel,0.0,0.0
09,CO,LargeOffice,0.0,0.0
09,CO,MediumOffice,0.6535947712418301,0.0
09,CO,Outpatient,4.958677685950414,0.0
09,CO,PrimarySchool,0.0,0.0
09,CO,QuickServiceRestaurant,0.0,0.0
09,CO,RetailStandalone,5.7571964956195245,0.0
09,CO,RetailStripmall,2.9465930018416207,0.0
09,CO,SecondarySchool,4.0650406504065035,0.0
09,CO,SmallHotel,0.0,0.0
09,CO,SmallOffice,0.0,0.0
09,CO,Warehouse,0.0,0.0
09,CT,FullServiceRestaurant,0.0,0.0
09,CT,Hospital,0.0,0.0
09,CT,LargeHotel,0.0,0.0
09,CT,LargeOffice,0.0,0.0
09,CT,MediumOffice,0.0,0.0
09,CT,Outpatient,4.895104895104895,0.0
09,CT,PrimarySchool,8.860759493670885,0.0
09,CT,QuickServiceRestaurant,0.0,0.0
09,CT,RetailStandalone,17.006802721088434,0.0
09,CT,RetailStripmall,1.5486725663716814,0.0
09,CT,SecondarySchool,1.4705882352941175,0.0
09,CT,SmallHotel,0.0,0.0
09,CT,SmallOffice,0.0,0.0
09,CT,Warehouse,0.0,0.0
09,DC,FullServiceRestaurant,0.0,0.0
09,DC,Hospital,0.0,0.0
09,DC,LargeHotel,0.0,0.0
09,DC,LargeOffice,0.0,0.0
09,DC,MediumOffice,0.0,0.0
09,DC,Outpatient,0.0,0.0
09,DC,PrimarySchool,0.0,0.0
09,DC,QuickServiceRestaurant,0.0,0.0
09,DC,RetailStandalone,5.555555555555555,0.0
09,DC,RetailStripmall,0.2762430939226519,0.0
09,DC,SecondarySchool,6.25,0.0
09,DC,SmallHotel,0.0,0.0
09,DC,SmallOffice,0.0,0.0
09,DC,Warehouse,0.0,0.0
09,DE,FullServiceRestaurant,0.0,0.0
09,DE,LargeHotel,0.0,0.0
09,DE,LargeOffice,0.0,0.0
09,DE,MediumOffice,0.0,0.0
09,DE,Outpatient,0.0,0.0
09,DE,PrimarySchool,9.090909090909092,0.0
09,DE,QuickServiceRestaurant,0.0,0.0
09,DE,RetailStandalone,4.545454545454546,0.0
09,DE,RetailStripmall,2.2857142857142856,0.0
09,DE,SecondarySchool,0.0,0.0
09,DE,SmallHotel,0.0,0.0
09,DE,SmallOffice,0.0,0.0
09,DE,Warehouse,0.0,0.0
09,FL,FullServiceRestaurant,0.0,0.0
09,FL,Hospital,0.0,0.0
09,FL,LargeHotel,0.0,0.0
09,FL,LargeOffice,0.0,0.0
09,FL,MediumOffice,0.0,0.0
09,FL,Outpatient,0.0,0.0
09,FL,PrimarySchool,6.806282722513089,0.0
09,FL,QuickServiceRestaurant,0.0,0.0
09,FL,RetailStandalone,0.3376477208778841,0.0
09,FL,RetailStripmall,0.0,0.0
09,FL,SecondarySchool,1.4423076923076923,0.0
09,FL,SmallHotel,0.0,0.0
09,FL,SmallOffice,0.0,0.0
09,FL,Warehouse,0.0,0.0
09,GA,FullServiceRestaurant,0.0,0.0
09,GA,Hospital,0.0,0.0
09,GA,LargeHotel,0.0,0.0
09,GA,LargeOffice,0.0,0.0
09,GA,MediumOffice,0.0,0.0
09,GA,Outpatient,0.0,0.0
09,GA,PrimarySchool,0.6756756756756757,0.0
09,GA,QuickServiceRestaurant,0.0,0.0
09,GA,RetailStandalone,0.0,0.0
09,GA,RetailStripmall,0.0,0.0
09,GA,SecondarySchool,0.9009009009009009,0.0
09,GA,SmallHotel,0.0,0.0
09,GA,SmallOffice,0.0,0.0
09,GA,Warehouse,0.0,0.0
09,HI,FullServiceRestaurant,0.0,0.0
09,HI,Hospital,0.0,0.0
09,HI,LargeHotel,0.0,0.0
09,HI,LargeOffice,0.0,0.0
09,HI,MediumOffice,0.0,0.0
09,HI,Outpatient,0.0,0.0
09,HI,PrimarySchool,0.0,0.0
09,HI,QuickServiceRestaurant,0.0,0.0
09,HI,RetailStandalone,0.0,0.0
09,HI,RetailStripmall,0.0,0.0
09,HI,SecondarySchool,0.0,0.0
09,HI,SmallHotel,0.0,0.0
09,HI,SmallOffice,0.0,0.0
09,HI,Warehouse,0.0,0.0
09,IA,FullServiceRestaurant,0.0,0.0
09,IA,Hospital,22.22222222222222,0.0
09,IA,LargeHotel,16.666666666666664,0.0
09,IA,LargeOffice,0.0,0.0
09,IA,MediumOffice,1.5873015873015872,0.0
09,IA,Outpatient,6.0,0.0
09,IA,PrimarySchool,1.8867924528301887,0.0
09,IA,QuickServiceRestaurant,0.0,0.0
09,IA,RetailStandalone,18.51851851851852,0.0
09,IA,RetailStripmall,3.9647577092511015,0.0
09,IA,SecondarySchool,2.4390243902439024,0.0
09,IA,SmallHotel,0.0,0.0
09,IA,SmallOffice,0.0,0.0
09,IA,Warehouse,0.0,0.0
09,ID,FullServiceRestaurant,0.0,0.0
09,ID,Hospital,33.33333333333333,0.0
09,ID,LargeHotel,0.0,0.0
09,ID,LargeOffice,4.761904761904762,0.0
09,ID,MediumOffice,0.0,0.0
09,ID,Outpatient,11.538461538461538,0.0
09,ID,PrimarySchool,0.0,0.0
09,ID,QuickServiceRestaurant,0.0,0.0
09,ID,RetailStandalone,13.768115942028986,0.0
09,ID,RetailStripmall,4.012345679012346,0.0
09,ID,SecondarySchool,6.0606060606060606,0.0
09,ID,SmallHotel,0.0,0.0
09,ID,SmallOffice,0.0,0.0
09,ID,Warehouse,0.0,0.0
09,IL,FullServiceRestaurant,0.0,0.0
09,IL,Hospital,6.25,0.0
09,IL,LargeHotel,3.4482758620689653,0.0
09,IL,LargeOffice,2.4630541871921183,0.0
09,IL,MediumOffice,0.6802721088435374,0.0
09,IL,Outpatient,5.622489959839357,0.0
09,IL,PrimarySchool,2.1645021645021645,0.0
09,IL,QuickServiceRestaurant,0.0,0.0
09,IL,RetailStandalone,16.31054131054131,0.0
09,IL,RetailStripmall,2.191858810133789,0.0
09,IL,SecondarySchool,2.5830258302583027,0.0
09,IL,SmallHotel,0.0,0.0
09,IL,SmallOffice,0.0,0.0
09,IL,Warehouse,0.149812734082397,0.0
09,IN,FullServiceRestaurant,0.0,0.0
09,IN,Hospital,5.88235294117647,0.0
09,IN,LargeHotel,0.0,0.0
09,IN,LargeOffice,0.0,0.0
09,IN,MediumOffice,0.0,0.0
09,IN,Outpatient,0.0,0.0
09,IN,PrimarySchool,3.0303030303030303,0.0
09,IN,QuickServiceRestaurant,0.0,0.0
09,IN,RetailStandalone,10.200803212851406,0.0
09,IN,RetailStripmall,0.4418262150220913,0.0
09,IN,SecondarySchool,4.9504950495049505,0.0
09,IN,SmallHotel,0.0,0.0
