upgrade,state,comstock_building_type,percentage_above_25,percentage_above_50
15,AK,FullServiceRestaurant,0.0,0.0
15,AK,Hospital,0.0,0.0
15,AK,LargeHotel,0.0,0.0
15,AK,LargeOffice,0.0,0.0
15,AK,MediumOffice,0.0,0.0
15,AK,Outpatient,0.0,0.0
15,AK,PrimarySchool,0.0,0.0
15,AK,QuickServiceRestaurant,0.0,0.0
15,AK,RetailStandalone,0.0,0.0
15,AK,RetailStripmall,0.0,0.0
15,AK,SecondarySchool,0.0,0.0
15,AK,SmallHotel,0.0,0.0
15,AK,SmallOffice,0.0,0.0
15,AK,Warehouse,0.7352941176470588,0.0
15,AL,FullServiceRestaurant,0.0,0.0
15,AL,Hospital,0.0,0.0
15,AL,LargeHotel,0.0,0.0
15,AL,LargeOffice,0.0,0.0
15,AL,MediumOffice,0.0,0.0
15,AL,Outpatient,0.0,0.0
15,AL,PrimarySchool,0.0,0.0
15,AL,QuickServiceRestaurant,0.0,0.0
15,AL,RetailStandalone,0.0,0.0
15,AL,RetailStripmall,0.0,0.0
15,AL,SecondarySchool,0.0,0.0
15,AL,SmallHotel,0.0,0.0
15,AL,SmallOffice,0.0,0.0
15,AL,Warehouse,0.0,0.0
15,AR,FullServiceRestaurant,0.0,0.0
15,AR,Hospital,0.0,0.0
15,AR,LargeHotel,0.0,0.0
15,AR,LargeOffice,0.0,0.0
15,AR,MediumOffice,0.0,0.0
15,AR,Outpatient,0.0,0.0
15,AR,PrimarySchool,0.0,0.0
15,AR,QuickServiceRestaurant,0.0,0.0
15,AR,RetailStandalone,0.16556291390728478,0.0
15,AR,RetailStripmall,0.0,0.0
15,AR,SecondarySchool,0.0,0.0
15,AR,SmallHotel,0.0,0.0
15,AR,SmallOffice,0.0,0.0
15,AR,Warehouse,0.0,0.0
15,AZ,FullServiceRestaurant,0.0,0.0
15,AZ,Hospital,0.0,0.0
15,AZ,LargeHotel,0.0,0.0
15,AZ,LargeOffice,0.0,0.0
15,AZ,MediumOffice,1.4492753623188406,0.0
15,AZ,Outpatient,0.0,0.0
15,AZ,PrimarySchool,0.0,0.0
15,AZ,QuickServiceRestaurant,0.0,0.0
15,AZ,RetailStandalone,0.11467889908256881,0.0
15,AZ,RetailStripmall,0.0,0.0
15,AZ,SecondarySchool,0.0,0.0
15,AZ,SmallHotel,0.0,0.0
15,AZ,SmallOffice,0.08873114463176575,0.0
15,AZ,Warehouse,0.0651890482398957,0.0
15,CA,FullServiceRestaurant,0.0,0.0
15,CA,Hospital,0.0,0.0
15,CA,LargeHotel,0.0,0.0
15,CA,LargeOffice,0.0,0.0
15,CA,MediumOffice,0.0,0.0
15,CA,Outpatient,0.0,0.0
15,CA,PrimarySchool,0.0,0.0
15,CA,QuickServiceRestaurant,0.0,0.0
15,CA,RetailStandalone,0.15807152736613317,0.0
15,CA,RetailStripmall,0.0,0.0
15,CA,SecondarySchool,0.0,0.0
15,CA,SmallHotel,0.15479876160990713,0.0
15,CA,SmallOffice,0.12505862122870096,0.0
15,CA,Warehouse,0.36068530207394045,0.0
15,CO,FullServiceRestaurant,0.0,0.0
15,CO,Hospital,0.0,0.0
15,CO,LargeHotel,0.0,0.0
15,CO,LargeOffice,0.0,0.0
15,CO,MediumOffice,0.0,0.0
15,CO,Outpatient,0.0,0.0
15,CO,PrimarySchool,0.0,0.0
15,CO,QuickServiceRestaurant,0.0,0.0
15,CO,RetailStandalone,0.0,0.0
15,CO,RetailStripmall,0.0,0.0
15,CO,SecondarySchool,0.0,0.0
15,CO,SmallHotel,0.0,0.0
15,CO,SmallOffice,0.0,0.0
15,CO,Warehouse,0.0,0.0
15,CT,FullServiceRestaurant,0.0,0.0
15,CT,Hospital,0.0,0.0
15,CT,LargeHotel,0.0,0.0
15,CT,LargeOffice,0.0,0.0
15,CT,MediumOffice,0.0,0.0
15,CT,Outpatient,0.0,0.0
15,CT,PrimarySchool,0.0,0.0
15,CT,QuickServiceRestaurant,0.0,0.0
15,CT,RetailStandalone,0.13605442176870747,0.0
15,CT,RetailStripmall,0.0,0.0
15,CT,SecondarySchool,0.0,0.0
15,CT,SmallHotel,0.0,0.0
15,CT,SmallOffice,0.0,0.0
15,CT,Warehouse,0.12484394506866417,0.0
15,DC,FullServiceRestaurant,0.0,0.0
15,DC,Hospital,0.0,0.0
15,DC,LargeHotel,0.0,0.0
15,DC,LargeOffice,0.0,0.0
15,DC,MediumOffice,0.0,0.0
15,DC,Outpatient,0.0,0.0
15,DC,PrimarySchool,0.0,0.0
15,DC,QuickServiceRestaurant,0.0,0.0
15,DC,RetailStandalone,0.0,0.0
15,DC,RetailStripmall,0.0,0.0
15,DC,SecondarySchool,0.0,0.0
15,DC,SmallHotel,0.0,0.0
15,DC,SmallOffice,0.0,0.0
15,DC,Warehouse,0.0,0.0
15,DE,FullServiceRestaurant,0.0,0.0
15,DE,LargeHotel,0.0,0.0
15,DE,LargeOffice,0.0,0.0
15,DE,MediumOffice,0.0,0.0
15,DE,Outpatient,0.0,0.0
15,DE,PrimarySchool,0.0,0.0
15,DE,QuickServiceRestaurant,0.0,0.0
15,DE,RetailStandalone,0.0,0.0
15,DE,RetailStripmall,0.0,0.0
15,DE,SecondarySchool,0.0,0.0
15,DE,SmallHotel,0.0,0.0
15,DE,SmallOffice,0.0,0.0
15,DE,Warehouse,0.0,0.0
15,FL,FullServiceRestaurant,0.0,0.0
15,FL,Hospital,0.0,0.0
15,FL,LargeHotel,0.49504950495049505,0.0
15,FL,LargeOffice,0.0,0.0
15,FL,MediumOffice,0.20833333333333334,0.0
15,FL,Outpatient,0.0,0.0
15,FL,PrimarySchool,0.0,0.0
15,FL,QuickServiceRestaurant,0.0,0.0
15,FL,RetailStandalone,0.36578503095104103,0.0
15,FL,RetailStripmall,0.0,0.0
15,FL,SecondarySchool,0.9615384615384616,0.0
15,FL,SmallHotel,0.0,0.0
15,FL,SmallOffice,0.2915451895043732,0.0
15,FL,Warehouse,0.045878574705612477,0.0
15,GA,FullServiceRestaurant,0.0,0.0
15,GA,Hospital,0.0,0.0
15,GA,LargeHotel,0.0,0.0
15,GA,LargeOffice,0.0,0.0
15,GA,MediumOffice,0.0,0.0
15,GA,Outpatient,0.0,0.0
15,GA,PrimarySchool,0.0,0.0
15,GA,QuickServiceRestaurant,0.0,0.0
15,GA,RetailStandalone,0.056338028169014086,0.0
15,GA,RetailStripmall,0.0,0.0
15,GA,SecondarySchool,0.0,0.0
15,GA,SmallHotel,0.0,0.0
15,GA,SmallOffice,0.15717092337917485,0.0
15,GA,Warehouse,0.0,0.0
15,HI,FullServiceRestaurant,0.0,0.0
15,HI,Hospital,0.0,0.0
15,HI,LargeHotel,0.0,0.0
15,HI,LargeOffice,0.0,0.0
15,HI,MediumOffice,0.0,0.0
15,HI,Outpatient,0.0,0.0
15,HI,PrimarySchool,0.0,0.0
15,HI,QuickServiceRestaurant,0.0,0.0
15,HI,RetailStandalone,0.0,0.0
15,HI,RetailStripmall,0.0,0.0
15,HI,SecondarySchool,0.0,0.0
15,HI,SmallHotel,0.0,0.0
15,HI,SmallOffice,0.0,0.0
15,HI,Warehouse,0.0,0.0
15,IA,FullServiceRestaurant,0.0,0.0
15,IA,Hospital,0.0,0.0
15,IA,LargeHotel,0.0,0.0
15,IA,LargeOffice,0.0,0.0
15,IA,MediumOffice,0.0,0.0
15,IA,Outpatient,0.0,0.0
15,IA,PrimarySchool,0.0,0.0
15,IA,QuickServiceRestaurant,0.0,0.0
15,IA,RetailStandalone,0.0,0.0
15,IA,RetailStripmall,0.0,0.0
15,IA,SecondarySchool,0.0,0.0
15,IA,SmallHotel,0.0,0.0
15,IA,SmallOffice,0.0,0.0
15,IA,Warehouse,0.0,0.0
15,ID,FullServiceRestaurant,0.0,0.0
15,ID,Hospital,0.0,0.0
15,ID,LargeHotel,0.0,0.0
15,ID,LargeOffice,0.0,0.0
15,ID,MediumOffice,0.0,0.0
15,ID,Outpatient,0.0,0.0
15,ID,PrimarySchool,0.0,0.0
15,ID,QuickServiceRestaurant,0.0,0.0
15,ID,RetailStandalone,0.0,0.0
15,ID,RetailStripmall,0.0,0.0
15,ID,SecondarySchool,0.0,0.0
15,ID,SmallHotel,0.0,0.0
15,ID,SmallOffice,0.0,0.0
15,ID,Warehouse,0.0,0.0
15,IL,FullServiceRestaurant,0.0,0.0
15,IL,Hospital,0.0,0.0
15,IL,LargeHotel,0.0,0.0
15,IL,LargeOffice,0.0,0.0
15,IL,MediumOffice,0.0,0.0
15,IL,Outpatient,0.0,0.0
15,IL,PrimarySchool,0.0,0.0
15,IL,QuickServiceRestaurant,0.0,0.0
15,IL,RetailStandalone,0.0,0.0
15,IL,RetailStripmall,0.0,0.0
15,IL,SecondarySchool,0.0,0.0
15,IL,SmallHotel,0.0,0.0
15,IL,SmallOffice,0.0,0.0
15,IL,Warehouse,0.0,0.0
15,IN,FullServiceRestaurant,0.0,0.0
15,IN,Hospital,0.0,0.0
15,IN,LargeHotel,0.0,0.0
15,IN,LargeOffice,0.0,0.0
15,IN,MediumOffice,0.0,0.0
15,IN,Outpatient,0.0,0.0
15,IN,PrimarySchool,0.0,0.0
15,IN,QuickServiceRestaurant,0.0,0.0
15,IN,RetailStandalone,0.0,0.0
15,IN,RetailStripmall,0.0,0.0
15,IN,SecondarySchool,0.0,0.0
15,IN,SmallHotel,0.0,0.0
15,IN,SmallOffice,0.0665335994677312,0.0
15,IN,Warehouse,0.0,0.0
15,KS,FullServiceRestaurant,0.0,0.0
15,KS,Hospital,0.0,0.0
15,KS,LargeHotel,0.0,0.0
15,KS,LargeOffice,0.0,0.0
15,KS,MediumOffice,0.0,0.0
15,KS,Outpatient,0.0,0.0
15,KS,PrimarySchool,0.0,0.0
15,KS,QuickServiceRestaurant,0.0,0.0
15,KS,RetailStandalone,0.0,0.0
15,KS,RetailStripmall,0.0,0.0
15,KS,SecondarySchool,0.0,0.0
15,KS,SmallHotel,0.0,0.0
15,KS,SmallOffice,0.0,0.0
15,KS,Warehouse,0.0,0.0
15,KY,FullServiceRestaurant,0.0,0.0
15,KY,Hospital,0.0,0.0
15,KY,LargeHotel,0.0,0.0
15,KY,LargeOffice,0.0,0.0
15,KY,MediumOffice,0.0,0.0
15,KY,Outpatient,0.0,0.0
15,KY,PrimarySchool,0.0,0.0
15,KY,QuickServiceRestaurant,0.0,0.0
15,KY,RetailStandalone,0.0,0.0
15,KY,RetailStripmall,0.0,0.0
15,KY,SecondarySchool,0.0,0.0
15,KY,SmallHotel,0.0,0.0
15,KY,SmallOffice,0.0,0.0
15,KY,Warehouse,0.0,0.0
