upgrade,state,comstock_building_type,percentage_above_25,percentage_above_50
07,AK,FullServiceRestaurant,0.0,0.0
07,AK,Hospital,25.0,0.0
07,AK,LargeHotel,20.0,0.0
07,AK,LargeOffice,50.0,0.0
07,AK,MediumOffice,16.666666666666664,0.0
07,AK,Outpatient,0.0,0.0
07,AK,PrimarySchool,65.21739130434783,0.0
07,AK,QuickServiceRestaurant,0.0,0.0
07,AK,RetailStandalone,5.0,0.0
07,AK,RetailStripmall,1.7094017094017095,0.0
07,AK,SecondarySchool,67.85714285714286,0.0
07,AK,SmallHotel,0.0,0.0
07,AK,SmallOffice,0.0,0.0
07,AK,Warehouse,0.0,0.0
07,AL,FullServiceRestaurant,0.0,0.0
07,AL,Hospital,25.0,0.0
07,AL,LargeHotel,20.0,0.0
07,AL,LargeOffice,50.0,0.0
07,AL,MediumOffice,16.666666666666664,0.0
07,AL,Outpatient,0.0,0.0
07,AL,PrimarySchool,65.21739130434783,0.0
07,AL,QuickServiceRestaurant,0.0,0.0
07,AL,RetailStandalone,5.0,0.0
07,AL,RetailStripmall,1.7094017094017095,0.0
07,AL,SecondarySchool,67.85714285714286,0.0
07,AL,SmallHotel,0.0,0.0
07,AL,SmallOffice,0.0,0.0
07,AL,Warehouse,0.0,0.0
07,AR,FullServiceRestaurant,0.0,0.0
07,AR,Hospital,25.0,0.0
07,AR,LargeHotel,20.0,0.0
07,AR,LargeOffice,50.0,0.0
07,AR,MediumOffice,16.666666666666664,0.0
07,AR,Outpatient,0.0,0.0
07,AR,PrimarySchool,65.21739130434783,0.0
07,AR,QuickServiceRestaurant,0.0,0.0
07,AR,RetailStandalone,5.0,0.0
07,AR,RetailStripmall,1.7094017094017095,0.0
07,AR,SecondarySchool,67.85714285714286,0.0
07,AR,SmallHotel,0.0,0.0
07,AR,SmallOffice,0.0,0.0
07,AR,Warehouse,0.0,0.0
07,AZ,FullServiceRestaurant,0.0,0.0
07,AZ,Hospital,25.0,0.0
07,AZ,LargeHotel,20.0,0.0
07,AZ,LargeOffice,50.0,0.0
07,AZ,MediumOffice,16.666666666666664,0.0
07,AZ,Outpatient,0.0,0.0
07,AZ,PrimarySchool,65.21739130434783,0.0
07,AZ,QuickServiceRestaurant,0.0,0.0
07,AZ,RetailStandalone,5.0,0.0
07,AZ,RetailStripmall,1.7094017094017095,0.0
07,AZ,SecondarySchool,67.85714285714286,0.0
07,AZ,SmallHotel,0.0,0.0
07,AZ,SmallOffice,0.0,0.0
07,AZ,Warehouse,0.0,0.0
07,CA,FullServiceRestaurant,0.0,0.0
07,CA,Hospital,25.0,0.0
07,CA,LargeHotel,20.0,0.0
07,CA,LargeOffice,50.0,0.0
07,CA,MediumOffice,16.666666666666664,0.0
07,CA,Outpatient,0.0,0.0
07,CA,PrimarySchool,65.21739130434783,0.0
07,CA,QuickServiceRestaurant,0.0,0.0
07,CA,RetailStandalone,5.0,0.0
07,CA,RetailStripmall,1.7094017094017095,0.0
07,CA,SecondarySchool,67.85714285714286,0.0
07,CA,SmallHotel,0.0,0.0
07,CA,SmallOffice,0.0,0.0
07,CA,Warehouse,0.0,0.0
07,CO,FullServiceRestaurant,0.0,0.0
07,CO,Hospital,25.0,0.0
07,CO,LargeHotel,20.0,0.0
07,CO,LargeOffice,50.0,0.0
07,CO,MediumOffice,16.666666666666664,0.0
07,CO,Outpatient,0.0,0.0
07,CO,PrimarySchool,65.21739130434783,0.0
