upgrade,state,comstock_building_type,percentage_above_25,percentage_above_50
08,AK,FullServiceRestaurant,0.0,0.0
08,AK,Hospital,0.0,0.0
08,AK,LargeHotel,0.0,0.0
08,AK,LargeOffice,0.0,0.0
08,AK,MediumOffice,0.0,0.0
08,AK,Outpatient,0.0,0.0
08,AK,PrimarySchool,0.0,0.0
08,AK,QuickServiceRestaurant,0.0,0.0
08,AK,RetailStandalone,1.8518518518518516,0.0
08,AK,RetailStripmall,0.0,0.0
08,AK,SecondarySchool,0.0,0.0
08,AK,SmallHotel,0.0,0.0
08,AK,SmallOffice,0.0,0.0
08,AK,Warehouse,0.0,0.0
08,AL,FullServiceRestaurant,0.0,0.0
08,AL,Hospital,0.0,0.0
08,AL,LargeHotel,0.0,0.0
08,AL,LargeOffice,0.0,0.0
08,AL,MediumOffice,0.0,0.0
08,AL,Outpatient,0.0,0.0
08,AL,PrimarySchool,0.0,0.0
08,AL,QuickServiceRestaurant,0.0,0.0
08,AL,RetailStandalone,0.0,0.0
08,AL,RetailStripmall,0.0,0.0
08,AL,SecondarySchool,0.0,0.0
08,AL,SmallHotel,0.0,0.0
08,AL,SmallOffice,0.0,0.0
08,AL,Warehouse,0.0,0.0
08,AR,FullServiceRestaurant,0.0,0.0
08,AR,Hospital,0.0,0.0
08,AR,LargeHotel,0.0,0.0
08,AR,LargeOffice,0.0,0.0
08,AR,MediumOffice,0.0,0.0
08,AR,Outpatient,0.0,0.0
08,AR,PrimarySchool,0.0,0.0
08,AR,QuickServiceRestaurant,0.0,0.0
08,AR,RetailStandalone,0.0,0.0
08,AR,RetailStripmall,0.0,0.0
08,AR,SecondarySchool,0.0,0.0
08,AR,SmallHotel,0.0,0.0
08,AR,SmallOffice,0.0,0.0
08,AR,Warehouse,0.0,0.0
08,AZ,FullServiceRestaurant,0.0,0.0
08,AZ,Hospital,0.0,0.0
08,AZ,LargeHotel,0.0,0.0
08,AZ,LargeOffice,0.0,0.0
08,AZ,MediumOffice,0.0,0.0
08,AZ,Outpatient,0.0,0.0
08,AZ,PrimarySchool,0.0,0.0
08,AZ,QuickServiceRestaurant,0.0,0.0
08,AZ,RetailStandalone,0.0,0.0
08,AZ,RetailStripmall,0.0,0.0
