state,perc_elec_savings,perc_gas_savings,perc_total_savings
AK,-20.327618199984673,99.21668785378206,45.98641133543849
AL,34.98510396349496,99.41506685222743,38.22577448126857
AR,36.480142662074954,95.20849763285914,42.548545294723134
AZ,36.93972133562196,91.03243885022506,38.25632346254843
CA,-6.8733417301291375,99.40640157575459,34.07089134763498
CO,21.538562097201147,93.42694347380312,45.43617485762186
CT,22.274531165820804,98.42255222362368,27.673708745015055
DC,23.76637617435072,100.00000000000001,37.69067602662804
DE,23.22754009874581,99.68001475926604,37.91635043200779
FL,29.389836481935852,100.0,29.571965251356726
GA,34.329758048917725,99.89104786013945,40.62002304290974
HI,31.6863220284386,100.0,31.873847730598726
IA,15.031708109087491,97.30767193314718,35.832798401495694
ID,22.486140007438173,94.15601320006591,43.3023474313033
IL,12.250984407651249,97.14445232230129,47.211553836074216
IN,17.35824398970941,96.34739802295364,45.789537942769705
KS,30.268152938279055,97.49758655178474,43.68067712530322
KY,30.249084257349807,98.92037013813678,40.85634464068619
LA,38.97969360700766,96.87411955852272,40.40266498076034
MA,22.61638274517662,98.57460768871961,29.90026344110073
MD,28.31418199538873,99.97568636800808,41.19337719689628
ME,10.213847958005283,93.44060509906781,12.178299268100613
MI,6.25028099923009,97.1844915182112,49.7376974832034
MN,4.905942607608365,96.98277212854877,37.21936140276653
MO,32.44721052941026,97.76162072815923,43.36021761696831
MS,38.0193746765247,99.1334691217495,41.05178560921387
MT,5.567212315638703,88.93752126186509,41.59728279502307
NC,30.168933998981515,99.96546009594971,35.764552755183296
ND,-0.8994819183441578,99.41269180095367,29.956324010924344
NE,22.541045359527093,96.88547401839013,41.23306208567523
NH,17.63009035049303,94.21958818829638,20.126544196814077
NJ,21.477141628221467,97.25370286788177,45.09739284005103
NM,31.190394576865724,96.01515943543724,44.209822748033496
NV,33.86155340770892,95.5109409794735,39.37855846518725
NY,16.9342458396717,96.67490017498324,44.23264616003927
OH,16.8923808301029,97.35294004935875,47.65525146768034
OK,39.82996467570401,94.97210141696027,47.87564633961389
OR,20.23226029826961,99.07875213008089,41.2885227160067
PA,17.29462021861656,97.57208772573279,41.599256954394434
RI,18.6125981861862,98.26656148146533,29.49830045359571
SC,32.17435304499276,99.68580477212146,34.9678475702203
SD,19.499974544421942,91.48666258936198,35.72994289992909
TN,36.55436378587632,98.00082787313434,42.200498868272014
TX,37.96277621511968,96.3718991138278,40.29326504544227
UT,24.69009088269295,90.95921405555144,45.35860373429032
VA,27.53434357919952,99.91814321667493,37.93771358614668
VT,13.729230563891313,100.0,15.52893250073657
WA,16.714073717590725,99.52276099040614,42.45441464260204
WI,0.2925123808400927,97.21520323270305,45.794289324637674
WV,26.146402173748477,99.91073646417725,42.50052855000298
WY,8.366073067991886,92.56556636816775,42.000805036890334
