state,perc_elec_savings,perc_gas_savings,perc_total_savings
AK,-39.82183386664676,90.50687477559107,35.35420832060515
AL,-1.0287154506060332,75.41365565449843,10.937403891676484
AR,-3.2310447765301733,83.07837370396624,18.673133378994397
AZ,5.271684756782218,56.94084701789123,9.746527531902997
CA,5.667215567002913,77.50897971626058,28.88904090469074
CO,-17.594968713036348,86.44664513698193,29.130971300838134
CT,-11.771351787143432,88.41654440759238,27.403031183692804
DC,-15.690692343379673,85.16741124122241,25.411106118769776
DE,-15.00712747755591,87.98164464268282,24.280673315282726
FL,2.566401115178303,36.70141704510688,4.28908644890718
GA,-6.879297326197634,83.94927887351756,18.5837549429347
HI,16.79993400464709,7.968954079476167,16.54391207752585
IA,-31.890701930609026,90.75556678482104,28.925406731580452
ID,-10.624751086777795,86.91317354657707,30.303690398656087
IL,-39.91739612936006,91.94540051312154,34.365795421704426
IN,-29.81970127595159,91.68583254383259,31.681496303220293
KS,-17.46771851534896,89.74717440218794,28.816152550015026
KY,-6.053250403028964,82.28060663429807,18.761656655057084
LA,6.968583902008845,69.30341069252158,14.786590668801043
MA,-27.891186250923997,90.6791744549724,32.25657923157787
MD,-15.398980652706706,87.48286089146077,24.296364965566728
ME,-5.400415483965554,77.58645091688648,13.786748387124819
MI,-48.88344167850065,92.6624012427669,37.802540740559884
MN,-35.976505241008304,91.5727903118095,29.874089884504215
MO,-11.42572392011844,88.2740775272298,24.484039063605508
MS,0.32907151161848575,80.1764135481737,14.986034568755102
MT,-32.47049153867587,88.98355199405705,25.53290930680308
NC,-4.672616917025799,79.87634843115755,15.544757122185018
ND,-16.466252577239526,89.1396161827657,15.257262265903057
NE,-20.619173598560312,89.22709827256935,25.346299563850696
NH,-22.951232336809003,91.60334351529849,28.119977982452127
NJ,-27.841570988864753,91.61440447424252,31.724668956914417
NM,-3.6951144662976194,78.64240312524007,22.706689200539387
NV,2.6363691560575275,78.38291568789474,19.00932463236978
NY,-21.608061215769418,90.95144930131143,29.41412811314473
OH,-34.19062479133577,91.20052655647866,33.29675419531893
OK,-7.476293199771291,87.52477079089464,28.102173455944158
OR,5.233061182927291,76.14724365956218,25.51999162630016
PA,-24.880775318380476,90.10334166148925,28.96515597171559
RI,-22.018506821494434,87.41774529820285,29.72691646861737
SC,-1.9195194294360127,78.78985643801258,11.669265655525958
SD,-19.40543129470063,85.63334395380379,22.438216633344982
TN,-4.505332622200842,80.49095455198521,19.217006990135054
TX,3.9891302879921864,75.14509707401076,14.426231473764453
UT,-11.332047572085239,85.34161061245594,30.367833907173218
VA,-10.339956545360943,83.25975855050524,20.69152012035153
VT,-25.90046104536994,90.16116151989533,33.013795364861686
WA,-6.139937700854331,82.20424752513898,22.668503040218436
WI,-58.60577758294603,92.38253403997335,37.3264429636944
WV,-20.651253233605154,90.10431474942722,25.07710132682433
WY,-34.94754427753599,90.22713868771729,29.643565692027696
