state,perc_elec_savings,perc_gas_savings,perc_total_savings
AK,2.283437001889939,88.9030443330504,30.343500102987598
AL,21.078040272799164,61.495894940764316,23.99352447965402
AR,18.397181424200824,67.80578919227354,25.888466062550556
AZ,18.76148797992675,47.50961223526224,19.506590616324377
CA,17.97362312056629,87.31868358847183,26.816734881369822
CO,3.956190681672158,78.05715760681633,28.115040975157562
CT,6.3736146200191595,86.11458652317963,22.942673105086275
DC,17.347371413910334,89.74655272634998,32.79456468486327
DE,12.619063677215353,85.73852196251968,28.251769353439073
FL,16.039909031108113,24.58233208732908,16.096541166970827
GA,18.30506213266154,76.23245769356332,24.1895009032029
HI,28.555028304654922,0.0725591026606717,28.415765924182903
IA,-5.722753519950613,81.68238862403685,28.55892245255912
ID,3.846303315484711,83.0170881235134,30.77609488220637
IL,-2.9077260660549045,67.38199339854447,29.431349856421367
IN,1.9636849122826707,64.47695889396309,27.022723405418482
KS,11.028163637729454,77.24158546092094,26.853814945769493
KY,15.052914372247411,67.12784231046727,26.976251032316696
LA,23.242514435917148,54.06937803437734,24.56161619493843
MA,2.4459685433545646,87.58015847587907,25.967078326600898
MD,13.384517408208534,80.57095669083398,27.504243358797396
ME,2.9795195888400055,89.69578300284275,11.736914860516146
MI,-3.0308266853879844,57.58717218397585,27.37335084493959
MN,-12.994907685252034,82.15651499980767,27.76431065142538
MO,13.727709284794432,76.75926404507106,26.925759503193238
MS,20.13532050462931,62.64993897634791,23.690977441095942
MT,-11.600434863155805,80.7595612490284,23.928508164106454
NC,17.795152204431446,74.53264129526343,21.904069936398994
ND,-5.074588961869237,83.45665986314008,21.419706534786123
NE,2.0953454207390045,81.90427590669937,27.913562567681048
NH,5.3046592224842275,87.1758025050526,19.958285325972692
NJ,-1.2841706804181658,74.39440680710875,25.507382134445304
NM,15.83122210973615,80.50501976790825,27.289200709266105
NV,18.057284054456893,74.34982983253494,23.457199039378754
NY,-4.148479510594337,74.96855920819216,26.44192980376253
OH,0.7272340607399562,62.3585043752596,28.09019598407797
OK,21.08942128116305,62.35774464087903,28.986308676600228
OR,19.584270282030314,80.15812001590427,24.76894473439538
PA,-0.9381731940984824,73.82102933444413,21.524723592438228
RI,2.7414479898616717,88.10072172155121,26.34799401563495
SC,18.284424435528532,67.1514248726002,20.382782366130037
SD,1.1653378198585504,77.96853374176948,22.430081860733527
TN,21.00097518752535,61.48690019913604,26.249454935724124
TX,21.868311478322184,60.703710044242754,24.064055360028153
UT,8.95990613624004,80.25331571981553,30.280037368105575
VA,16.48914870950821,78.49767082286237,25.30216118874755
VT,2.161708009595992,87.31532962833896,19.086458405465766
WA,18.532273501554283,86.10770732580343,24.376050728866925
WI,-6.473738825530882,61.63494209332034,26.20994564999065
WV,12.854132625542832,80.3635415159262,25.013907231891565
WY,5.625741368739465,70.86939826166457,25.671416396540394
