state,perc_elec_savings,perc_gas_savings,perc_total_savings
AK,2.3496469029352323,6.634880361169368,3.2004590665919332
AL,10.560538499820344,8.013885202862857,9.556410800557693
AR,10.616781110190233,14.575037211079913,12.40502828800956
AZ,12.334587993353512,3.042247707449322,9.017447472325403
CA,9.143318025456859,4.343068743406297,6.777452711726808
CO,0.6295719015430162,19.95343360911149,10.256957919956522
CT,6.191973112560798,17.87178161001404,11.414531701926997
DC,6.4557227611434005,27.234050298998685,16.288871514834387
DE,8.031232410600516,25.912905305783926,15.936363883096881
FL,10.384117047259153,0.5407208400888526,7.741203140270475
GA,9.30420710525554,9.7587729348211,9.495158675065746
HI,16.380297913283577,0.012879057213817949,11.229519974490017
IA,-10.557318994703754,30.626678737634617,11.955463147035895
ID,5.573376614499271,14.352944863127785,9.635251344832877
IL,-10.040713748183753,35.92596919798726,17.70404610163232
IN,-6.897048101374703,30.213213641078223,15.058935275766464
KS,2.7118967906385976,31.725469441995195,17.97251242584858
KY,7.178385416206224,19.888977341537828,13.148109000926619
LA,15.360310578222203,5.896314757587282,11.790463803270606
MA,7.737566738284679,15.729687597574694,11.166601899663233
MD,5.303710386914329,20.587127214813854,12.688965270472181
ME,-0.13442834961584682,1.7864652137012564,0.596337083835539
MI,-12.65020290557553,34.921911317575706,17.496726519781955
MN,-22.403745880724166,37.973359640565995,12.046021089015563
MO,4.367739388352422,23.568627579981975,12.80334971862903
MS,8.9824664614299,8.27207037057196,8.69219410273996
MT,-8.010354602120234,21.13406378320395,6.764650674250985
NC,8.896491098584436,9.85427037170622,9.274971252998826
ND,-23.553052200500183,21.37540856506472,-4.506296203756573
NE,-5.659883425692011,32.37634677717913,13.771156498470056
NH,1.2047682348078481,6.793517172080937,3.5385932080589813
NJ,1.0078474801556279,27.607967323821427,15.277341697846191
NM,5.366972038027667,12.754744080477357,9.039508938425342
NV,10.212996419646153,11.190668909731738,10.61598921768751
NY,-3.3295176417537484,28.72195603883291,13.640134824134508
OH,-7.382953534611817,33.34974919902815,16.952049808576835
OK,8.02845705929241,20.27856696870318,13.936876558271836
OR,9.134631756940292,10.766419525884098,9.866675081103882
PA,0.5830692706681405,24.70500659316901,12.50174081866972
RI,4.224890802685481,18.44712555518347,10.78295412152889
SC,7.45964304079887,6.035446443531035,6.905690065096986
SD,-25.756808416255613,30.600486348933206,5.3566944522361934
TN,9.770413664255024,11.2148761034209,10.335453032043485
TX,13.231897134083622,8.111860679410498,11.135916388090944
UT,1.8100645531051232,20.288433748306417,11.515679807665146
VA,7.56930736900323,15.154642587782865,10.987784223130593
VT,-9.121050860302493,2.2660178206120376,-3.963713754076192
WA,8.626517887710456,10.05545348963541,9.233631457310207
WI,-20.830430603565382,37.949465487728055,16.52325222242433
WV,2.9654194010814545,28.397141956409225,15.22831080868804
WY,-10.197607953737764,33.45096026361018,9.500803087584206
