state,perc_elec_savings,perc_gas_savings,perc_total_savings
AK,-40.22749106657565,94.6000337653231,44.45723587317287
AL,7.774316045152607,89.9731763708081,28.830427705623134
AR,0.05221204519083127,93.4665394056207,30.069522521815276
AZ,13.733502188593503,84.13319792182212,25.210776552409463
CA,5.1249528088536325,64.16234893847636,22.665766156858847
CO,-29.132732927047435,94.83992521325172,43.46458993418103
CT,-17.58237120551284,94.55896740864999,36.03150854290047
DC,-7.644654143507112,90.98249897077953,28.202162244120768
DE,-4.394331736404798,95.68489229150038,24.57976566704937
FL,15.519129766768938,30.1401094554223,15.977331160794455
GA,5.822899480832292,90.9991828865902,28.13390455045371
HI,28.34392623259827,0.29020366312228757,28.180182290778284
IA,-21.535921808663986,95.42312754090723,37.18338202396152
ID,-34.273897855616944,94.62716427311784,44.475453812155244
IL,-38.82536132143209,96.79477723248752,43.12111865583522
IN,-35.50020533762575,96.78426525896123,42.26535465066226
KS,-11.576413247622696,93.89520039935299,35.83814451857932
KY,-1.1657368109088913,92.85136105236778,35.75811715976513
LA,7.273316707212071,88.67266021656565,21.884941965591604
MA,-30.854379747476617,96.18546031491996,42.01176265829896
MD,4.6060914685652,88.50861714444744,25.696144666658125
ME,-9.549344477831696,78.49015997071429,20.63066663599542
MI,-48.68856699015244,96.99018193896718,46.598407562263766
MN,-35.16949200168529,94.96708212289867,39.14521196411923
MO,0.32910462812269287,94.09410202868006,31.945103492238044
MS,6.701926978315708,89.14425687853115,29.027311330442146
MT,-66.00898979848598,96.35488140275618,45.92608748500412
NC,6.601634840485312,89.20450536954405,23.949406948205088
ND,-3.90043560521226,95.13711580456564,23.384925328667588
NE,-0.30342265006977776,94.58370206407943,40.77144237548077
NH,-18.130480351181237,94.62962501147678,36.75072711256573
NJ,-25.175405538629654,96.01826840057461,42.309100964748666
NM,-5.6330034426509386,93.37270154506933,35.91461309696094
NV,3.4090366940402363,92.0774204395306,32.4235396736931
NY,-32.370349749980754,96.73251092436902,44.956523659450035
OH,-39.75768823849488,97.11739825363968,45.51621052860844
OK,-6.201879418315552,95.25917827111611,39.017544015818345
OR,13.469244836637285,85.60456570929787,30.62990161584219
PA,-34.05789006406407,96.26435960959155,43.63923101838559
RI,-19.672600927251942,93.52779764063511,36.6371380094147
SC,9.05948645228314,88.42857821248182,24.694481082373045
SD,-8.023566379050026,93.65753296729173,30.804718950927217
TN,4.440313422733888,92.79959733339204,33.87207440407253
TX,9.96932215490438,89.22608832236715,25.962510536694428
UT,-23.43845682058025,95.68760617596352,42.60589262007094
VA,2.932289597135693,89.6603335263064,24.812692581455714
VT,1.962696937691098,88.82317070504931,19.73146181539343
WA,5.127236854939924,88.97312658765519,29.099792236662168
WI,-58.58295580026679,97.05560053593688,46.733038172879745
WV,-1.2841335095099347,93.18171699889476,29.021237903116422
WY,-43.514228117923864,96.54503219262062,41.53100131242644
