state,perc_elec_savings,perc_gas_savings,perc_total_savings
AK,-9.847317612242062,56.89283099023263,20.775598046000294
AL,14.005983752191185,19.430846807747372,15.030606663612192
AR,12.231783867161223,33.36402710376584,18.152002301656005
AZ,12.62764579632504,6.80850065441511,11.707758571512224
CA,13.736936011659171,32.505003909938914,19.853044710608103
CO,4.949260602108218,41.250164341357156,16.888962561163492
CT,7.282250955899037,51.81759465241498,25.100727247205008
DC,11.923704941367314,39.463708865725884,21.887551707300727
DE,13.897620256323087,49.24073548200408,24.329408014891648
FL,13.760463842457705,2.37260047589837,12.355074304998707
GA,17.846409485676112,26.36320331897239,19.701155353075357
HI,30.255059035693865,0.004363678044073065,26.088102788237038
IA,-11.510792064827893,61.71814817015722,23.585719621237786
ID,3.035967946352723,41.60911439943876,15.038484329444957
IL,2.0488265549492173,49.817948288005454,22.483685713189743
IN,4.171235650111837,47.31045354271125,21.14027318349675
KS,8.164424497199636,53.71197566120193,24.6159183312981
KY,9.323566896522081,39.72404248170136,17.47803982799699
LA,14.640131663270008,16.27021112569639,14.932708770285762
MA,2.475698534171227,54.95397313351669,24.65047744045918
MD,12.755071319376679,44.47430783778264,22.706411094391516
ME,-4.900415227259376,49.424053486908235,16.111563541279203
MI,0.42859848631287945,51.834324179529126,23.065762623987077
MN,-20.088335159719826,67.5672748256931,26.547700174463447
MO,9.140500570840544,52.12892270566293,24.38966259929632
MS,14.419189943130313,20.167553135966884,15.501706700702771
MT,-6.490627951777782,54.967651962214084,18.825835717468813
NC,15.54293363561552,29.880841756836162,18.7365498869221
ND,-22.293702613593506,70.05510951766034,25.969863245619383
NE,-3.4898416072436866,62.00911452347436,26.07154756077168
NH,0.4715966356301834,55.17297402556381,21.739962554842048
NJ,8.700469500280693,47.85752211496775,23.26910869219544
NM,12.249365418117637,25.557827076724788,15.801477691131414
NV,15.438943549724513,20.16172472503785,16.324514505773784
NY,4.92336406375444,51.97075755234574,24.03708933676654
OH,6.132750199347422,49.44666016509195,23.562098883586884
OK,15.130978202743435,41.33602780829449,22.83747846697988
OR,13.951154747873627,34.97753250007658,20.160396146911058
PA,6.842356943253287,50.13147908136623,22.683381147332547
RI,4.068956120140857,50.07585679926337,24.216637959195715
SC,16.670393161377763,20.31764501566246,17.406558753060217
SD,-8.329041875186148,61.335618168735415,24.239287291000643
TN,14.584273131551665,33.03150183374382,18.653032299524583
TX,15.436672570192501,20.34672094949119,16.38734556081776
UT,9.587062867140578,36.616863993935574,17.9608996959334
VA,14.966065414943913,38.120825168898406,21.177811474942523
VT,-4.567385440806174,54.72953834498343,19.961432834171248
WA,13.11375691480609,37.98786339797817,20.591407171508184
WI,-2.48420010274447,51.801371569049806,22.498873157506132
WV,14.656223407977267,44.94676908851571,24.109681890565938
WY,1.3243124811487392,52.52788056104549,20.12085094130461
