state,perc_elec_savings,perc_gas_savings,perc_total_savings
AK,-29.508038723624207,90.4049206400667,41.349279538714384
AL,3.7018192644186727,72.9152130690595,19.739232091517895
AR,10.45476015080855,68.03427645737577,20.19684089210567
AZ,3.7844304609080064,78.12822813629988,21.93091051799051
CA,0.3369814779746164,31.21731698958194,12.59752861189441
CO,-5.809554168716099,85.48173732664574,32.629341549273
CT,-8.146828858450755,73.51084629780003,29.289842372586076
DC,-10.110493628965907,78.14393384030983,31.76757827932233
FL,12.259705163109219,74.38852757803647,23.02587775410212
GA,10.29542658801449,74.14838115939693,21.27976823107234
HI,0.6688631739533228,69.0130339950019,17.278771057480377
IA,-3.590697633409702,77.23076721751369,24.123108945451825
ID,-4.693870055500756,90.51903785871815,35.34365427804347
IL,-1.4528582029128339,81.79152108660172,29.01208205017287
IN,-4.006008856517997,84.25563862352277,26.092702163524553
KS,0.8190649670032499,78.2973002661993,23.947423573310626
KY,3.965637503708038,77.60800542616035,19.0827041256897
LA,1.8296363987512096,70.42402972833769,15.643285840620427
MA,5.074060540043905,81.57642124973589,21.97271084151418
MD,0.6994442438026482,77.76745537412936,20.616221534974834
ME,9.201501935745828,52.559910395819266,12.408717527673952
MI,-8.919127907309456,79.60899187307407,27.240033451334018
MN,-15.172402875576216,80.60096523686319,33.48624146224547
MO,1.0299201825793445,72.21348209888868,16.649778280444448
MS,6.656705580480028,60.62995970185319,16.569204434831867
MT,-14.749285897655563,82.82100248483773,30.456452489472646
NC,16.004156805300433,51.973797769588074,20.32628791668438
ND,-34.09524854586705,83.56225308051711,25.24781618243722
NE,-13.147240898810246,83.0758234740953,26.185278345938542
NH,2.334231140026894,6.784227547691139e-16,2.2014836248043013
NJ,-2.332736032246107,80.21673192501287,24.521915130309182
NM,-7.335916693427354,75.71370846768683,22.362753381457537
NV,1.1545864631452802,76.4765853971371,22.477417385103728
NY,3.2806017569374597,73.00623768574272,20.608572022452986
OH,-4.8251951470039325,81.08414248726199,23.024194161664635
OK,-1.8445292553198878,84.54246060704968,26.02491815442581
OR,-14.338974278132286,83.41385263040537,28.303216997896737
PA,-7.9743098247070225,85.45545702099463,27.269845437379
RI,11.94558578258171,9.76535299661295e-16,11.820370704547736
SC,14.787732897952079,56.400402597679864,18.31769158113541
SD,-9.683924118460505,79.8118032374146,22.346243113643705
TN,6.614700535894515,70.31672406149309,17.708997700901993
TX,2.5866032986975864,74.65472229306559,17.366273767505994
UT,-13.631616232935643,89.14554313403873,33.730187173411096
VA,3.4348591764617513,78.9555948422946,22.5954905053451
VT,3.3422297686984415,9.84930585051031e-06,3.035801923919114
WA,9.124513905611485,71.78960971377764,22.354883345895367
WI,-15.608854075577904,85.46961451528318,33.38011830408008
WV,-12.502370592141936,84.81580732485664,29.30529408923398
WY,0.14304518394639462,72.53413240568395,24.7170035962248
