state,perc_elec_savings,perc_gas_savings,perc_total_savings
AK,12.8365069922557,92.15717225524365,38.5321080354597
AL,28.820952985380295,72.30490190441415,31.957605520914516
AR,26.068744103220514,77.48900456156159,33.86503354897225
AZ,28.717964614505348,52.10094201661363,29.3240117414202
CA,24.10737772427577,89.47811009169651,32.44367000392887
CO,12.684221318390787,84.32500687829051,36.04098824152281
CT,16.488104738677528,89.29987161623171,31.617371350330806
DC,26.160916104895232,92.59688322000348,40.33578943310261
DE,21.17330281701525,89.4331031510196,35.76702920890993
FL,26.542812949851825,25.872086075743418,26.538366354873883
GA,26.908815136718175,81.62714061366275,32.467266932761966
HI,36.613602209015866,0.07307934186405379,36.4349407256282
IA,6.169683519050103,86.3138700318047,37.603498117561514
ID,13.370343868048947,88.94421806192774,39.076653144452784
IL,6.5478143994663345,77.29304097548072,39.09646121184631
IN,11.096018329082893,75.32115055281281,36.84127142673425
KS,19.224233279697327,83.41856191551275,34.56730169348403
KY,23.494714756031698,77.58246138556993,35.878916478089
LA,31.57556956741558,64.4173256351329,32.98088989979081
MA,12.463870103098206,90.62776536094373,34.05920756861127
MD,22.318701836285026,86.76248941780779,35.862039295223305
ME,11.564831469861684,92.3449201350671,19.722737941740593
MI,6.421899782357911,70.16080774587918,38.39143209055052
MN,0.034612798223767484,86.73276283693654,37.172773501403306
MO,22.722073390766496,82.67104319779556,35.27466735840055
MS,28.189873174396194,72.8911242943512,31.928406397248377
MT,-0.5962288644141738,87.85457822415296,33.42893157353106
NC,26.51570600096255,80.7664952277764,30.444537420880096
ND,7.0796617196732745,87.1282011408235,31.035380018549272
NE,13.01395386599331,86.45447080501077,36.7719869854671
NH,15.201297980310827,90.50634539649636,28.679697869435167
NJ,8.82299668609259,82.289745109416,34.83152295423186
NM,22.88723431268346,86.18532040022313,34.10148400953253
NV,26.833958162371353,80.53115284394273,31.98491167142731
NY,6.829631572324946,82.4876022742476,36.08260070697323
OH,10.169433334636597,73.9018343137092,38.46525220018461
OK,29.140855587960658,73.21959087260554,37.575528497786365
OR,27.56305655686058,83.96561922447225,32.390699623884515
PA,10.439813202461506,82.22401774328972,32.00881237535435
RI,12.385451678323673,91.17944233187728,34.17633491339178
SC,27.566939826137045,74.16666277225325,29.5679404468675
SD,11.2541385403924,82.47233863185839,30.972547101627733
TN,28.53299504246225,74.10907846388861,34.441348396645814
TX,30.229357908748277,70.20233458839954,32.48942017716906
UT,16.915553443788674,86.2396089836591,37.646753848821234
VA,24.554104641052188,83.69107303676738,32.95899517372915
VT,12.421186890643408,89.84335014176287,27.80926743524188
WA,27.15220441150464,88.87512458864701,32.489868928354355
WI,2.54711249152743,72.72996705307786,36.22614199459684
WV,21.368690305711656,86.1812402662053,33.04270748547967
WY,13.589262502311886,78.38079759771051,33.49602614687942
