state,perc_elec_savings,perc_gas_savings,perc_total_savings
AK,-33.900455839541934,90.40490862845304,39.552362092426485
AL,2.5900561300297804,72.91504803262731,18.885036988615344
AR,8.897502521414875,67.99750572658706,18.896839785212595
AZ,2.1555414784933618,78.1280186134423,20.699563768504
CA,0.36467740088780326,31.216717544062355,12.613990307828065
CO,-8.388018935208578,85.42003476480834,31.11057873624262
CT,-13.740791106081744,73.51079103882861,26.26045542581606
DC,-11.958228746246979,78.14395807295767,30.796633155976394
FL,10.734622213196173,74.3883847244514,21.765048457000105
GA,8.768162847625716,74.14825100747443,20.0152105343256
HI,-1.0658770332062026,69.0127956719942,15.965572529347158
IA,-5.204669299143455,77.23074932786234,23.06256455129839
ID,-6.088949513852361,90.51899459663463,34.535194815633794
IL,-3.9191540790547714,81.79146952401031,27.448357450351246
IN,-6.231948700582155,84.25285761377899,24.62489699308514
KS,-1.6523961279300945,78.2971705070818,22.213690140204225
KY,2.3011853071884367,77.60792667905335,17.759909116852096
LA,0.19344480837463898,70.42388977950445,14.336564965678066
MA,4.017543475504168,81.5763388363401,21.149550232519427
MD,-0.7857405351385562,77.76734062333583,19.51482516030936
ME,9.367610189580638,52.55991114928592,12.562538832240143
MI,-10.903535185023975,79.60689937445751,26.065299305036316
MN,-16.088067305841335,80.60096313795036,33.0357886935615
MO,-1.0037553327735982,72.21338785615237,15.062332906624652
MS,5.47909316185504,60.62973053979992,15.607825229710281
MT,-17.845730252133695,82.8209892728184,28.79462986749381
NC,13.9458796168031,51.973660813234666,18.515317948678135
ND,-39.21340232445626,83.56221539586399,22.711093170701197
NE,-16.51236613677397,83.0757752027461,24.195675238890193
NH,2.1020072424271405,6.784227547691139e-16,1.9824662793977115
NJ,-3.675422870624684,80.21663323737835,23.61599351084007
NM,-8.634178847742682,75.71365897644127,21.52873401562862
NV,-0.9747844303214547,76.47642965450747,20.950803923732735
NY,2.359363937863817,73.0061936966084,19.91626606009649
OH,-6.715888576561876,81.08410473881973,21.74639809067084
OK,-3.7462608740399523,84.5423735953559,24.73667919764453
OR,-15.749717864705849,83.41385725966587,27.50787653739541
PA,-9.863532547869896,85.45541108139373,26.09326968022373
RI,10.482081423326237,9.76535299661295e-16,10.372206975369561
SC,12.950630255279787,56.40018253149603,16.636409741301588
SD,-12.956985216188635,79.81178328797088,20.244590511432165
TN,5.303421779621988,70.31655526905178,16.62606088338908
TX,0.7245436416649886,74.65240404311729,15.885608346058365
UT,-16.711602049620122,89.14550518284652,32.0695039158331
VA,1.5677394450666058,78.95553321416605,21.202068648724236
VT,3.177428926684739,1.8099316587103968e-16,2.886109767136301
WA,7.224023812702831,71.78833760274186,20.855371743863518
WI,-18.08431082115289,85.4695912847113,32.104412067043484
WV,-15.330380429694019,84.81578760382773,27.692182280441585
WY,-2.618530317507571,72.53407336157234,22.892855521018635
